epoch: 1; training cost: 0.198324; validation cost: 0.179478
epoch: 2; training cost: 0.171398; validation cost: 0.163141
epoch: 3; training cost: 0.162145; validation cost: 0.164177
epoch: 4; training cost: 0.152866; validation cost: 0.153987
epoch: 5; training cost: 0.147757; validation cost: 0.146634
epoch: 6; training cost: 0.144282; validation cost: 0.143025
epoch: 7; training cost: 0.141541; validation cost: 0.148064
epoch: 8; training cost: 0.139374; validation cost: 0.138633
epoch: 9; training cost: 0.137922; validation cost: 0.138703
epoch: 10; training cost: 0.137144; validation cost: 0.138062
epoch: 11; training cost: 0.136759; validation cost: 0.136791
epoch: 12; training cost: 0.135328; validation cost: 0.136066
epoch: 13; training cost: 0.134906; validation cost: 0.136857
epoch: 14; training cost: 0.134273; validation cost: 0.137832
epoch: 15; training cost: 0.133277; validation cost: 0.134023
epoch: 16; training cost: 0.133404; validation cost: 0.135738
epoch: 17; training cost: 0.132974; validation cost: 0.141883
epoch: 18; training cost: 0.13275; validation cost: 0.132441
epoch: 19; training cost: 0.132268; validation cost: 0.133584
epoch: 20; training cost: 0.132585; validation cost: 0.137006
epoch: 21; training cost: 0.132031; validation cost: 0.140284
epoch: 22; training cost: 0.131309; validation cost: 0.132677
epoch: 23; training cost: 0.131782; validation cost: 0.13098
epoch: 24; training cost: 0.131441; validation cost: 0.130823
epoch: 25; training cost: 0.131379; validation cost: 0.137409
epoch: 26; training cost: 0.130632; validation cost: 0.130928
epoch: 27; training cost: 0.131242; validation cost: 0.129807
epoch: 28; training cost: 0.130511; validation cost: 0.137963
epoch: 29; training cost: 0.130645; validation cost: 0.129708
epoch: 30; training cost: 0.13101; validation cost: 0.129538
epoch: 31; training cost: 0.130273; validation cost: 0.140053
epoch: 32; training cost: 0.130194; validation cost: 0.134697
epoch: 33; training cost: 0.130172; validation cost: 0.167763
epoch: 34; training cost: 0.13; validation cost: 0.139087
epoch: 35; training cost: 0.12955; validation cost: 0.12925
epoch: 36; training cost: 0.130325; validation cost: 0.128956
epoch: 37; training cost: 0.129831; validation cost: 0.130352
epoch: 38; training cost: 0.129647; validation cost: 0.131865
epoch: 39; training cost: 0.129951; validation cost: 0.130231
epoch: 40; training cost: 0.129338; validation cost: 0.133621
epoch: 41; training cost: 0.129314; validation cost: 0.131288
epoch: 42; training cost: 0.129871; validation cost: 0.130338
epoch: 43; training cost: 0.129598; validation cost: 0.129407
epoch: 44; training cost: 0.128736; validation cost: 0.127737
epoch: 45; training cost: 0.129113; validation cost: 0.135135
epoch: 46; training cost: 0.129555; validation cost: 0.143202
epoch: 47; training cost: 0.128505; validation cost: 0.132329
epoch: 48; training cost: 0.129118; validation cost: 0.132164
epoch: 49; training cost: 0.129076; validation cost: 0.129638
epoch: 50; training cost: 0.129154; validation cost: 0.131882
